1800 	 -600.60 	 [30, 30, 15, 50, 30, 30, 39, 15] 	 257 []
2700 	 -509.01 	 [30, 30, 36, 15, 30, 30, 53, 63] 	 305 []
3600 	 -472.29 	 [7, 11, 26, 15, 30, 30, 33, 45] 	 215 []
4500 	 -473.44 	 [30, 6, 40, 39, 30, 30, 43, 21] 	 257 []
5400 	 -583.71 	 [9, 30, 47, 41, 5, 30, 33, 56] 	 269 []
6300 	 -773.53 	 [17, 30, 47, 15, 30, 30, 39, 15] 	 241 []
7200 	 -914.81 	 [30, 16, 15, 66, 30, 14, 45, 25] 	 259 []
8100 	 -961.72 	 [30, 30, 36, 15, 23, 30, 15, 61] 	 258 []
9000 	 -973.66 	 [30, 30, 15, 20, 30, 23, 55, 35] 	 256 []
9900 	 -1090.71 	 [30, 30, 41, 45, 30, 30, 15, 55] 	 294 []
10800 	 -1651.04 	 [30, 30, 61, 50, 30, 30, 40, 45] 	 334 []
11700 	 -1858.57 	 [16, 5, 15, 38, 30, 30, 63, 48] 	 263 []
12600 	 -2173.85 	 [10, 29, 23, 46, 18, 5, 22, 52] 	 223 []
13500 	 -2425.26 	 [16, 29, 23, 31, 30, 29, 22, 40] 	 238 []
14400 	 -2665.45 	 [21, 29, 23, 31, 30, 29, 64, 40] 	 285 []
15300 	 -2918.39 	 [30, 29, 23, 40, 30, 29, 64, 40] 	 303 []
16200 	 -3166.51 	 [25, 30, 15, 40, 30, 29, 64, 24] 	 275 []
17100 	 -3273.14 	 [16, 30, 23, 31, 30, 29, 22, 40] 	 239 []
18000 	 -3275.91 	 [30, 30, 23, 38, 30, 29, 22, 51] 	 271 []
18900 	 -3287.64 	 [16, 29, 23, 40, 30, 29, 22, 40] 	 247 []
19800 	 -3373.23 	 [9, 29, 23, 40, 30, 29, 35, 40] 	 253 []
20700 	 -3462.28 	 [30, 5, 15, 38, 5, 30, 23, 52] 	 216 []
21600 	 -3486.54 	 [30, 8, 23, 31, 30, 29, 15, 40] 	 224 []
22500 	 -3463.34 	 [16, 29, 43, 46, 18, 29, 64, 52] 	 315 []
23400 	 -3445.41 	 [25, 29, 43, 40, 30, 29, 15, 24] 	 253 []
24300 	 -3448.62 	 [21, 29, 39, 38, 30, 30, 15, 52] 	 272 []
25200 	 -3388.67 	 [21, 30, 25, 40, 30, 29, 35, 40] 	 268 []
26100 	 -3316.09 	 [21, 30, 39, 40, 30, 7, 64, 40] 	 289 []
27000 	 -3260.01 	 [21, 29, 23, 40, 30, 29, 15, 40] 	 245 []

