900 	 -1745.68 	 [0. 0. 0. 0. 0. 0. 0. 0.] 	 18.0 []
1800 	 -1896.21 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
2700 	 -2075.27 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
3600 	 -2058.99 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
4500 	 -2104.19 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
5400 	 -2113.23 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
6300 	 -2095.45 	 [21, 30, 23, 38, 30, 29, 22, 40] 	 251 []
7200 	 -2082.94 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
8100 	 -2145.88 	 [21, 29, 23, 31, 30, 29, 22, 40] 	 243 []
9000 	 -2126.74 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
9900 	 -2062.64 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
10800 	 -2027.88 	 [21, 30, 23, 38, 30, 29, 22, 40] 	 251 []
11700 	 -2069.69 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
12600 	 -2037.30 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
13500 	 -2043.90 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
14400 	 -2043.80 	 [21, 29, 23, 31, 30, 29, 22, 40] 	 243 []
15300 	 -2023.95 	 [21, 29, 23, 31, 30, 29, 22, 40] 	 243 []
16200 	 -2002.53 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
17100 	 -1996.87 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
18000 	 -2006.99 	 [21, 30, 23, 38, 30, 29, 22, 40] 	 251 []
18900 	 -2024.98 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
19800 	 -2008.49 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
20700 	 -1981.21 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
21600 	 -1961.05 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
22500 	 -1897.83 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
23400 	 -1846.27 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
24300 	 -1833.96 	 [21, 30, 23, 40, 30, 29, 22, 40] 	 253 []
25200 	 -1804.02 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
26100 	 -1769.14 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
27000 	 -1751.22 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
27900 	 -1731.14 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
28800 	 -1713.78 	 [21, 30, 23, 31, 30, 29, 22, 40] 	 244 []
29700 	 -1707.79 	 [21, 29, 40, 15, 30, 29, 28, 40] 	 250 []
30600 	 -1706.56 	 [21, 30, 23, 32, 30, 29, 15, 40] 	 238 []
31500 	 -1702.31 	 [21, 30, 23, 38, 30, 29, 15, 64] 	 268 []
