time,reward,1,2,3,4,5,6,7,8,delay,replication
900,-8.7234,16,30,16,30,16,30,16,30,12.0570602416992,8050297
1800,-3.8677,5,30,60,15,30,9,15,38,15.5453500747681,8050297
2700,-1.5903,30,5,15,15,5,30,66,62,13.5278606414795,8050297
3600,-49.3538,24,30,15,69,14,30,42,15,13.5278606414795,8050297
4500,-16.365,30,30,38,15,7,30,42,35,17.0040817260742,8050297
5400,-45.1791,30,26,15,56,30,23,20,39,28.4927463531494,8050297
6300,-453.164,7,30,26,15,30,30,42,35,26.0442886352539,8050297
7200,-173.8856,30,17,39,31,30,19,56,16,39.098201751709,8050297
8100,-171.6614,7,30,26,15,30,30,37,35,39.098201751709,8050297
9000,-3281.2018,7,30,60,15,30,30,33,22,53.035945892334,8050297
9900,-329.5514,20,30,55,15,5,30,62,45,49.378044128418,8050297
10800,-2666.4587,30,30,26,15,30,30,42,35,52.5106925964356,8050297
11700,-1245.2172,30,30,22,34,30,30,36,39,49.9622459411621,8050297
12600,-2174.2839,30,30,15,15,30,18,29,44,52.3943862915039,8050297
13500,-6169.2575,30,30,26,15,17,30,40,39,52.3943862915039,8050297
14400,-1247.9318,22,30,29,15,30,30,42,39,57.0669212341309,8050297
15300,-9883.449,20,30,31,32,29,30,39,42,44.1806907653809,8050297
16200,-9655.1164,7,30,26,15,30,30,42,35,41.6182327270508,8050297
17100,-970.5591,7,30,26,15,30,30,42,35,37.3520469665527,8050297
18000,-11527.93,30,30,26,34,30,30,42,35,48.2686882019043,8050297
18900,-281.6849,29,30,26,34,14,30,42,35,45.7887077331543,8050297
19800,-16019.1845,7,30,26,15,30,30,42,35,44.3235778808594,8050297
20700,-447.8282,7,30,26,15,30,30,42,35,25.4264717102051,8050297
900,-26.2655,16,30,16,30,16,30,16,30,17.4916400909424,8050297
1800,-0.6539,23,21,15,27,7,30,15,15,12.5596046447754,8050297
2700,-49.1638,30,12,58,34,14,9,42,33,21.9605751037598,8050297
900,-7.9538,16,30,16,30,16,30,16,30,13.9787731170654,8050297
3600,-5.2898,18,30,26,22,6,30,42,15,22.4881381988525,8050297
1800,-6.1453,30,5,38,45,5,30,15,15,13.3308782577515,8050297
2700,-0.5597,30,9,15,60,6,30,15,62,13.3308782577515,8050297
4500,-90.5728,17,5,26,15,30,30,42,37,25.6901168823242,8050297
5400,-106.3656,30,30,47,51,30,5,64,19,25.2941017150879,8050297
3600,-71.4616,29,30,43,15,5,30,52,40,26.0401096343994,8050297
4500,-15.8287,28,21,15,40,30,30,64,58,18.7917156219482,8050297
6300,-1755.815,7,30,26,69,19,30,42,35,36.7083473205566,8050297
900,-5.9453,16,30,16,30,16,30,16,30,12.8426036834717,8050297
5400,-9.8084,7,30,27,31,30,30,64,62,20.5301170349121,8050297
1800,-4.5383,30,30,35,48,14,5,42,51,16.2527332305908,8050297
6300,-119.4959,30,9,53,27,7,25,42,38,25.6729469299316,8050297
7200,-519.2302,7,5,32,15,30,12,42,54,57.1173706054688,8050297
2700,-3.9622,30,5,25,15,15,5,16,65,15.4812278747559,8050297
7200,-108.2071,7,5,36,15,14,30,42,35,25.6729469299316,8050297
3600,-111.6858,5,9,32,15,21,5,59,15,20.3251724243164,8050297
8100,-3883.7087,30,30,16,33,30,30,39,36,47.9797782897949,8050297
4500,-47.3425,7,5,26,55,30,30,28,56,22.0187225341797,8050297
8100,-994.2373,5,30,26,15,23,19,42,35,52.495719909668,8050297
5400,-4.2228,7,30,26,15,30,30,28,35,24.3439922332764,8050297
9000,-1176.4297,30,5,35,21,30,30,42,35,52.4694061279297,8050297
9000,-605.7332,17,27,15,15,10,18,48,18,52.495719909668,8050297
6300,-286.2669,7,30,15,15,14,30,42,35,28.5311279296875,8050297
9900,-404.2032,30,22,26,15,30,30,29,28,65.6447525024414,8050297
9900,-1157.224,10,30,63,64,30,30,49,57,44.374439239502,8050297
7200,-177.1972,30,16,15,31,30,30,42,28,49.6751976013184,8050297
10800,-4145.9116,13,30,22,34,30,30,43,43,54.1857261657715,8050297
8100,-348.9546,30,30,21,63,30,30,15,63,53.7715568542481,8050297
10800,-3415.6726,30,30,15,21,30,30,29,43,50.5966949462891,8050297
900,-11.7616,16,30,16,30,16,30,16,30,16.2286987304687,8050297
9000,-4282.6556,30,30,37,31,30,29,67,59,53.7715568542481,8050297
1800,-3.9714,28,13,30,33,5,30,20,64,14.5148067474365,8050297
11700,-430.9675,25,30,31,16,24,13,29,60,60.0963821411133,8050297
2700,-5.4341,30,21,39,59,30,7,15,50,17.9191493988037,8050297
12600,-12466.4632,20,21,16,15,30,14,15,39,60.0963821411133,8050297
11700,-1172.3044,30,27,15,34,30,30,42,23,48.8771133422852,8050297
3600,-154.9657,30,16,25,59,25,22,52,60,22.1988334655762,8050297
