time,reward,1,2,3,4,5,6,7,8,delay,replication
900,-387.2161,10,21,10,31,10,21,14,27,30.9592590332031,8050315
1800,-19.39,7,30,26,15,15,30,42,35,30.9592590332031,8050315
2700,-34.4253,7,30,26,15,30,30,42,35,29.2494506835937,8050315
3600,-234.6326,7,30,62,15,30,30,42,35,26.7242412567139,8050315
4500,-305.3471,7,30,35,15,30,30,42,35,22.9077930450439,8050315
5400,-398.5459,30,30,62,34,14,30,42,35,22.9077930450439,8050315
6300,-149.0745,30,30,62,34,14,30,42,35,26.3591442108154,8050315
7200,-30.9466,30,30,62,34,14,30,42,35,25.2024250030518,8050315
8100,-151.4746,30,30,62,34,14,30,42,35,23.5560913085938,8050315
9000,-34.8716,30,30,62,34,14,30,42,35,29.8390865325928,8050315
9900,-82.2341,30,30,62,34,14,30,42,35,25.9540023803711,8050315
10800,-139.3605,30,30,62,34,14,30,42,35,27.7328014373779,8050315
11700,-175.6003,30,30,62,34,14,30,42,35,32.5304260253906,8050315
12600,-78.1991,30,30,62,34,14,30,42,35,26.6376152038574,8050315
13500,-196.1733,30,30,62,34,14,30,42,35,27.7975254058838,8050315
14400,-63.9833,30,30,62,34,14,30,42,35,34.5075798034668,8050315
900,-231.4332,10,21,10,31,10,21,14,27,23.5857124328613,8050315
1800,-114.3323,7,30,26,15,30,30,42,35,26.9782333374023,8050315
900,-118.9649,10,21,10,31,10,21,14,27,21.9320220947266,8050315
2700,-210.4626,30,30,26,15,30,30,59,35,29.9445953369141,8050315
1800,-130.9848,7,30,26,15,30,30,42,35,29.1669025421143,8050315
2700,-44.0058,7,30,26,15,30,30,42,35,26.2054271697998,8050315
3600,-73.2607,7,30,26,15,30,30,42,35,29.9445953369141,8050315
4500,-144.4739,7,30,26,15,30,30,42,35,28.391019821167,8050315
3600,-284.0366,7,30,26,15,30,30,42,35,24.3175678253174,8050315
5400,-82.4136,30,30,62,34,14,30,42,35,24.5862007141113,8050315
6300,-20.2951,30,30,62,34,14,30,42,35,24.5862007141113,8050315
4500,-113.9552,7,30,26,15,30,30,42,35,27.6467533111572,8050315
900,-316.9492,10,21,10,31,10,21,14,27,27.2929706573486,8050315
7200,-146.8276,30,30,62,34,14,30,42,35,23.6998329162598,8050315
1800,-103.6638,7,30,26,15,30,30,42,35,27.2929706573486,8050315
5400,-2.3771,30,30,62,34,14,30,42,35,22.3896312713623,8050315
6300,-100.0495,30,30,62,34,14,30,42,35,22.3896312713623,8050315
8100,-192.992,30,30,62,34,14,30,42,33,24.4309749603271,8050315
2700,-235.4094,7,30,26,15,30,30,42,35,32.3609504699707,8050315
7200,-40.9488,30,30,62,34,14,30,42,35,25.0517578125,8050315
3600,-121.9116,7,30,26,15,30,30,42,35,29.9439601898193,8050315
9000,-150.9824,30,30,62,34,14,30,42,35,28.5266284942627,8050315
