Wall time,Step,Value
1619361390.0875602,1600,-6483.98291015625
1619362916.666916,3200,-3647.704345703125
1619364445.8860772,4800,-2688.690185546875
1619366069.5250435,6400,-823.3473510742188
1619367774.3749657,8000,-852.9977416992188
1619369462.852102,9600,-882.8263549804688
1619371076.0606196,11200,-960.9885864257812
1619374044.5570395,12800,-2502.530517578125
1619375707.029136,14400,-2480.056640625
1619377327.5525901,16000,-2416.792724609375
1619378891.794134,17600,-844.6458129882812
1619380556.9023798,19200,-814.0753173828125
1619382226.274641,20800,-766.8685913085938
1619383870.4555342,22400,-861.7604370117188
1619385522.685098,24000,-876.8073120117188
1619387290.5910418,25600,-985.7061767578125
1619389005.427576,27200,-954.1304931640625
1619391859.314871,28800,-2467.660400390625
1619393570.6800556,30400,-2476.7373046875
1619396056.8973248,32000,-8425.314453125
1619397631.1943898,33600,-4673.060546875
1619399207.351912,35200,-3411.565673828125
1619400805.6647449,36800,-870.8832397460938
1619402510.6404827,38400,-810.2532958984375
1619404083.5810552,40000,-830.0340576171875
1619405688.8781767,41600,-848.3594970703125
1619407412.7239482,43200,-890.968017578125
1619409116.1879892,44800,-877.766357421875
1619410759.3459828,46400,-906.8514404296875
1619412431.296141,48000,-931.0805053710938
1619414138.5509393,49600,-926.7222290039062
1619415842.0159333,51200,-949.5319213867188
1619417505.3897872,52800,-883.1987915039062
1619419117.3912437,54400,-837.2680053710938
1619420873.906957,56000,-809.543701171875
1619423703.269879,57600,-2514.0712890625
1619425341.3494256,59200,-2507.3408203125
1619426985.0455825,60800,-2493.619384765625
1619428746.732036,62400,-807.1314086914062
1619430423.8496945,64000,-823.3482666015625
1619432080.225911,65600,-835.5376586914062
1619433713.3219614,67200,-862.680908203125
1619435527.547207,68800,-857.9669799804688
1619437275.282122,70400,-848.4302368164062
